benchmark_replicate,benchmark_in_set,benchmark_rank,benchmark_pvalue,set_size,decided_by_accepted_test,final_pvalue,n_dropped_replicates
334,0,754,0.000100,18,yes,0.063700,0
335,0,43,0.000000,9,yes,0.056500,0
336,1,995,0.198400,26,yes,0.054700,0
337,1,999,0.087200,8,yes,0.068400,0
338,0,18,0.000000,2,yes,0.272300,0
339,0,46,0.000000,1,no,0.003500,0
340,1,995,1.000000,1000,yes,0.937900,0
341,1,986,0.150500,66,yes,0.064100,0
342,1,899,0.999100,341,yes,0.055300,0
343,1,958,0.710000,67,yes,0.058300,0
344,0,932,0.000000,9,yes,0.063500,0
345,0,21,0.000000,1,no,0.002700,0
346,1,999,0.136400,14,yes,0.084800,0
347,1,957,0.999900,294,yes,0.051400,0
348,1,860,0.217200,195,yes,0.050700,0
349,1,15,1.000000,1000,yes,0.248800,0
350,0,36,0.000000,3,yes,0.113900,0
351,0,9,0.000800,1,no,0.012300,0
352,1,997,0.051600,27,yes,0.051600,0
353,0,987,0.000000,4,yes,0.106300,0
354,0,4,0.011600,1,no,0.021600,0
355,1,904,0.900100,184,yes,0.050000,0
356,1,469,0.177000,596,yes,0.051700,0
357,0,402,0.000000,452,yes,0.050500,0
358,1,2,0.460100,2,yes,0.460100,0
359,0,853,0.000000,133,yes,0.051800,0
360,1,991,0.755000,48,yes,0.052200,0
361,1,1,1.000000,5,yes,0.080000,0
362,0,46,0.000000,1,no,0.008300,0
363,0,735,0.000400,327,yes,0.054500,0
364,0,987,0.000000,1,no,0.044500,0
365,1,991,0.868800,52,yes,0.053400,0
366,0,208,0.000000,3,yes,0.373900,0
367,0,924,0.000200,4,yes,0.083500,0
368,1,6,0.444000,11,yes,0.191300,0
369,0,981,0.000000,29,yes,0.075000,0
370,1,982,0.916000,101,yes,0.050000,0
371,0,193,0.000000,1,no,0.000000,0
372,0,833,0.000000,75,yes,0.056300,0
373,1,232,0.675700,837,yes,0.051400,0
374,0,996,0.011800,5,yes,0.050800,0
375,0,77,0.000000,1,no,0.001500,0
376,0,65,0.000000,4,yes,0.396600,0
377,0,584,0.000300,313,yes,0.050200,0
378,0,26,0.000000,897,yes,0.056000,0
379,1,946,0.968500,127,yes,0.050200,0
380,0,998,0.000000,2,yes,0.664700,0
381,1,3,0.571400,15,yes,0.060900,0
382,1,955,0.585100,140,yes,0.053500,0
383,1,866,0.230900,364,yes,0.051000,0
384,1,4,0.941400,59,yes,0.053800,0
385,1,994,0.590400,24,yes,0.071700,0
386,1,146,0.999900,946,yes,0.063400,0
387,0,655,0.000000,319,yes,0.057100,0
388,1,958,1.000000,762,yes,0.051000,0
