benchmark_replicate,benchmark_in_set,benchmark_rank,benchmark_pvalue,set_size,decided_by_accepted_test,final_pvalue,n_dropped_replicates
379,1,2,0.554200,2,yes,0.554200,0
380,1,1,1.000000,1,no,0.005300,0
381,1,1,1.000000,1,no,0.000000,0
382,1,1,1.000000,1,no,0.000000,0
383,1,1,1.000000,1,no,0.000000,0
384,1,1,1.000000,1,no,0.004200,0
385,1,1,1.000000,1,no,0.000000,0
386,1,1,1.000000,1,no,0.000000,0
387,1,1,1.000000,1,no,0.000000,0
388,1,1,1.000000,1,no,0.000000,0
389,0,7,0.000000,2,yes,0.053800,0
390,1,1,1.000000,1,no,0.000000,0
391,1,1,1.000000,1,no,0.000000,0
392,1,1,1.000000,1,no,0.000000,0
393,1,1,1.000000,1,no,0.000000,0
394,1,1,1.000000,1,no,0.000000,0
395,1,1,1.000000,1,no,0.000000,0
396,1,1,1.000000,1,no,0.000000,0
397,1,1,1.000000,1,no,0.000000,0
398,1,1,1.000000,1,no,0.000000,0
399,1,1,1.000000,1,no,0.000000,0
400,0,10,0.000000,1,no,0.001100,0
401,0,6,0.000000,2,yes,0.188400,0
402,0,3,0.000200,1,no,0.002100,0
403,1,1,1.000000,1,no,0.000000,0
404,1,1,1.000000,1,no,0.000000,0
405,1,1,1.000000,1,no,0.013600,0
406,1,1,1.000000,1,no,0.000000,0
407,1,1,1.000000,1,no,0.000000,0
408,1,1,1.000000,1,no,0.000000,0
409,0,3,0.000000,1,no,0.000300,0
410,1,1,1.000000,1,no,0.000000,0
411,1,1,1.000000,1,no,0.000000,0
412,1,1,1.000000,1,no,0.000000,0
413,1,1,1.000000,1,no,0.000000,0
414,1,1,1.000000,1,no,0.000000,0
415,1,1,1.000000,1,no,0.000000,0
416,1,2,0.390700,2,yes,0.390700,0
417,1,1,1.000000,1,no,0.000000,0
418,1,1,1.000000,1,no,0.000000,0
419,1,1,1.000000,1,no,0.000000,0
420,1,1,1.000000,1,no,0.000000,0
421,1,1,1.000000,1,no,0.000000,0
422,1,2,0.934700,3,yes,0.934700,0
423,1,1,1.000000,1,no,0.000000,0
424,1,1,1.000000,1,no,0.000000,0
425,1,1,1.000000,1,no,0.000000,0
426,1,1,1.000000,1,no,0.000000,0
427,1,1,1.000000,1,no,0.000000,0
428,1,1,1.000000,1,no,0.046000,0
429,1,1,1.000000,1,no,0.000000,0
430,0,2,0.000000,1,no,0.000000,0
431,1,1,1.000000,1,no,0.000000,0
432,1,1,1.000000,1,no,0.000000,0
433,1,1,1.000000,1,no,0.000000,0
434,1,1,1.000000,1,no,0.000000,0
435,1,1,1.000000,1,no,0.000000,0
436,1,1,1.000000,1,no,0.000000,0
437,1,1,1.000000,1,no,0.000000,0
438,0,2,0.000000,1,no,0.000000,0
439,1,1,1.000000,1,no,0.009700,0
440,0,9,0.000000,2,yes,0.053200,0
441,1,1,1.000000,1,no,0.000000,0
442,1,1,1.000000,1,no,0.000000,0
443,0,2,0.048200,1,no,0.048200,0
444,1,1,1.000000,1,no,0.000000,0
445,1,1,1.000000,1,no,0.000000,0
446,0,2,0.028900,1,no,0.028900,0
447,1,1,1.000000,1,no,0.000000,0
448,1,1,1.000000,1,no,0.000000,0
449,1,1,1.000000,1,no,0.000000,0
450,1,1,1.000000,1,no,0.000000,0
451,1,1,1.000000,1,no,0.000000,0
452,1,1,1.000000,1,no,0.000000,0
453,1,1,1.000000,1,no,0.000000,0
454,1,1,1.000000,1,no,0.000000,0
455,1,1,1.000000,1,no,0.000000,0
456,1,3,0.155200,3,yes,0.155200,0
457,1,1,1.000000,1,no,0.000000,0
458,1,1,1.000000,1,no,0.000000,0
459,1,2,0.638500,2,yes,0.638500,0
460,0,9,0.000000,1,no,0.001900,0
461,1,1,1.000000,1,no,0.000000,0
462,1,1,1.000000,1,no,0.000000,0
463,1,1,1.000000,1,no,0.000000,0
464,0,20,0.000000,1,no,0.000800,0
465,1,1,1.000000,1,no,0.000000,0
466,1,1,1.000000,1,no,0.000000,0
467,1,1,1.000000,1,no,0.000000,0
468,0,2,0.000200,1,no,0.000200,0
469,1,1,1.000000,1,no,0.000000,0
470,1,1,1.000000,1,no,0.000000,0
471,1,1,1.000000,1,no,0.000000,0
472,1,1,1.000000,1,no,0.000000,0
473,1,1,1.000000,1,no,0.000000,0
474,1,1,1.000000,1,no,0.000000,0
475,1,1,1.000000,1,no,0.000000,0
476,1,1,1.000000,2,yes,0.644100,0
477,1,1,1.000000,1,no,0.000000,0
478,1,1,1.000000,1,no,0.000000,0
479,1,1,1.000000,1,no,0.000000,0
480,1,1,1.000000,1,no,0.001400,0
481,1,1,1.000000,1,no,0.000000,0
482,1,1,1.000000,1,no,0.000000,0
483,1,1,1.000000,1,no,0.000000,0
484,1,1,1.000000,1,no,0.000000,0
485,1,1,1.000000,1,no,0.000000,0
486,1,1,1.000000,2,yes,0.336800,0
487,1,1,1.000000,2,yes,0.401400,0
488,1,1,1.000000,1,no,0.000000,0
489,1,2,0.534300,2,yes,0.534300,0
490,1,1,1.000000,1,no,0.000000,0
491,1,2,0.663900,2,yes,0.663900,0
492,1,1,1.000000,1,no,0.000000,0
493,1,1,1.000000,1,no,0.000000,0
494,1,1,1.000000,1,no,0.000000,0
495,0,6,0.000000,2,yes,0.176500,0
496,1,1,1.000000,1,no,0.000000,0
497,1,1,1.000000,1,no,0.000000,0
498,1,1,1.000000,1,no,0.000000,0
499,1,1,1.000000,1,no,0.000000,0
500,1,1,1.000000,1,no,0.000000,0
501,1,1,1.000000,2,yes,0.063800,0
502,0,3,0.000100,1,no,0.009000,0
503,1,1,1.000000,1,no,0.000000,0
504,1,1,1.000000,1,no,0.000000,0
505,1,1,1.000000,2,yes,0.061000,0
506,1,1,1.000000,1,no,0.000000,0
507,1,1,1.000000,1,no,0.000000,0
508,1,2,0.930000,2,yes,0.930000,0
509,1,1,1.000000,1,no,0.000000,0
510,1,1,1.000000,1,no,0.000000,0
511,1,1,1.000000,1,no,0.000000,0
512,0,2,0.000200,1,no,0.000200,0
513,1,1,1.000000,1,no,0.000000,0
514,1,1,1.000000,1,no,0.000000,0
515,1,1,1.000000,1,no,0.000000,0
516,0,3,0.005100,2,yes,0.072700,0
517,0,2,0.002100,1,no,0.002100,0
518,1,1,1.000000,1,no,0.000000,0
519,1,1,1.000000,1,no,0.000000,0
520,1,1,1.000000,1,no,0.000000,0
521,1,1,1.000000,1,no,0.000000,0
522,1,1,1.000000,1,no,0.000000,0
523,1,1,1.000000,1,no,0.000000,0
524,0,3,0.000300,2,yes,0.102500,0
525,1,1,1.000000,1,no,0.000000,0
526,1,1,1.000000,1,no,0.000000,0
527,1,1,1.000000,1,no,0.000000,0
528,1,1,1.000000,1,no,0.006400,0
529,1,1,1.000000,1,no,0.000000,0
530,1,1,1.000000,1,no,0.000000,0
531,1,1,1.000000,1,no,0.000000,0
532,0,2,0.000000,1,no,0.000000,0
533,1,1,1.000000,1,no,0.000000,0
534,1,1,1.000000,1,no,0.000000,0
535,1,2,0.139900,2,yes,0.139900,0
536,1,1,1.000000,2,yes,0.187200,0
537,1,1,1.000000,1,no,0.000000,0
538,1,1,1.000000,1,no,0.000400,0
539,1,1,1.000000,1,no,0.000000,0
540,1,1,1.000000,1,no,0.000000,0
541,1,1,1.000000,1,no,0.000000,0
542,1,1,1.000000,1,no,0.000000,0
543,0,3,0.000000,1,no,0.002100,0
544,1,1,1.000000,1,no,0.000100,0
545,1,1,1.000000,1,no,0.000000,0
546,1,1,1.000000,1,no,0.000000,0
547,1,1,1.000000,1,no,0.000000,0
548,1,1,1.000000,1,no,0.000000,0
549,1,1,1.000000,1,no,0.000000,0
550,1,1,1.000000,1,no,0.000000,0
551,1,1,1.000000,1,no,0.000000,0
552,1,1,1.000000,1,no,0.000000,0
553,1,1,1.000000,1,no,0.000000,0
554,1,1,1.000000,1,no,0.000000,0
555,1,1,1.000000,1,no,0.000000,0
556,0,3,0.003700,1,no,0.020400,0
557,1,1,1.000000,1,no,0.000000,0
558,1,1,1.000000,1,no,0.000000,0
559,1,1,1.000000,1,no,0.000000,0
560,1,1,1.000000,1,no,0.005000,0
561,0,3,0.000000,1,no,0.044900,0
562,1,1,1.000000,1,no,0.000000,0
563,1,1,1.000000,1,no,0.000000,0
564,1,1,1.000000,1,no,0.000000,0
565,1,1,1.000000,1,no,0.000000,0
566,1,1,1.000000,1,no,0.000000,0
567,1,1,1.000000,1,no,0.000000,0
568,1,1,1.000000,1,no,0.000000,0
569,1,1,1.000000,1,no,0.000000,0
570,1,1,1.000000,1,no,0.000000,0
571,1,1,1.000000,1,no,0.004500,0
572,1,1,1.000000,1,no,0.000000,0
573,1,1,1.000000,1,no,0.000000,0
574,1,1,1.000000,1,no,0.000000,0
575,1,1,1.000000,1,no,0.000000,0
576,1,1,1.000000,1,no,0.000000,0
577,0,2,0.000000,1,no,0.000000,0
578,1,1,1.000000,1,no,0.000000,0
579,1,1,1.000000,1,no,0.000000,0
580,1,1,1.000000,1,no,0.000000,0
581,0,2,0.000000,1,no,0.000000,0
582,1,1,1.000000,1,no,0.000000,0
583,1,1,1.000000,1,no,0.000000,0
584,1,1,1.000000,2,yes,0.083700,0
585,1,1,1.000000,1,no,0.000000,0
586,0,2,0.000000,1,no,0.000000,0
587,1,3,0.309000,3,yes,0.309000,0
588,1,1,1.000000,1,no,0.000300,0
589,0,3,0.000000,1,no,0.000000,0
590,1,1,1.000000,1,no,0.000000,0
591,1,1,1.000000,1,no,0.000000,0
592,1,1,1.000000,1,no,0.000000,0
593,1,1,1.000000,1,no,0.000000,0
594,1,1,1.000000,1,no,0.000000,0
595,1,1,1.000000,1,no,0.000000,0
596,1,1,1.000000,2,yes,0.277700,0
597,1,1,1.000000,2,yes,0.261100,0
598,1,1,1.000000,1,no,0.000000,0
599,1,1,1.000000,1,no,0.000000,0
600,1,1,1.000000,1,no,0.000000,0
601,0,2,0.010900,1,no,0.010900,0
602,1,1,1.000000,2,yes,0.343000,0
603,1,2,0.111700,2,yes,0.111700,0
604,1,1,1.000000,1,no,0.000000,0
605,1,2,0.080600,2,yes,0.080600,0
606,0,6,0.000000,2,yes,0.273200,0
607,1,1,1.000000,1,no,0.000000,0
608,1,1,1.000000,1,no,0.000000,0
609,1,1,1.000000,3,yes,0.368700,0
610,1,2,0.482900,2,yes,0.482900,0
611,1,1,1.000000,1,no,0.000000,0
612,1,1,1.000000,1,no,0.000000,0
613,1,1,1.000000,1,no,0.000000,0
614,1,1,1.000000,1,no,0.020500,0
615,1,1,1.000000,1,no,0.000000,0
616,0,10,0.000000,2,yes,0.062800,0
